brewery_location,count
United States,11742
United Kingdom,3301
Germany,2733
Canada,1502
Italy,1167
France,1038
Spain,964
Australia,832
Belgium,691
Netherlands,679
Switzerland,583
Czech Republic,552
Russia,511
Sweden,504
Brazil,488
Japan,456
Poland,443
Mexico,394
Austria,358
Denmark,341
New Zealand,308
Norway,289
Argentina,255
South Africa,233
China,220
Ireland,193
Chile,179
Hungary,166
Finland,160
Ukraine,154
Portugal,133
Lithuania,126
Slovak Republic,118
India,117
Slovenia,113
Estonia,95
Greece,95
Israel,94
Vietnam,93
Thailand,86
Romania,82
Serbia,81
Latvia,79
Croatia,78
South Korea,76
Peru,55
Costa Rica,54
Philippines,50
Ecuador,50
Bulgaria,49
Belarus,48
Colombia,47
Taiwan,41
Kazakhstan,37
Singapore,33
Hong Kong,33
Iceland,30
Bosnia and Herzegovina,30
Georgia,29
Cambodia,29
Luxembourg,26
Bolivia,25
Moldova,24
Albania,22
North Korea,20
Puerto Rico,20
Turkey,19
"Canada, Ontario",17
Uzbekistan,17
Uruguay,16
"United Kingdom, England",16
Indonesia,16
Cyprus,16
"Canada, Quebec",15
Ethiopia,15
Nepal,14
Panama,14
Venezuela,12
Algeria,12
Macedonia,12
Nicaragua,11
Kyrgyzstan,11
Armenia,11
Mongolia,11
Malta,11
Cuba,10
Guatemala,10
Isle of Man,10
Bhutan,9
Iran,9
Greenland,9
Myanmar,9
Lebanon,9
Malaysia,8
Virgin Islands (U.S.),8
Nigeria,8
Paraguay,8
Kenya,8
Laos,8
"Canada, British Columbia",8
Bahamas,8
Azerbaijan,8
El Salvador,7
Mauritius,7
Uganda,7
Tajikistan,7
Sri Lanka,7
Tanzania,7
Egypt,6
Namibia,6
Montenegro,6
Fiji Islands,6
Tunisia,6
Cayman Islands,6
Turkmenistan,6
San Marino,6
Honduras,6
Vanuatu,6
Guernsey,6
Kosovo,6
Jordan,6
Rwanda,5
Guam,5
Jamaica,5
Angola,5
Curaçao,5
Saudi Arabia,5
Transdniestra,5
Dominican Republic,5
Faroe Islands,5
Ghana,5
Saint Lucia,5
Palestine,5
Barbados,5
Cameroon,4
"Canada, Alberta",4
Benin,4
Liechtenstein,4
Guadeloupe,4
Ivory Coast,4
New Caledonia,4
Andorra,4
Syria,4
Suriname,4
Eritrea,4
Congo,4
Trinidad & Tobago,4
Samoa,4
Jersey,4
Belize,4
Madagascar,4
Tonga,4
Reunion,4
United Arab Emirates,3
Saint Vincent and The Grenadines,3
Zambia,3
Abkhazia,3
Burkina Faso,3
Bermuda,3
Cook Islands,3
"Canada, Nova Scotia",3
French Polynesia,3
Botswana,3
Dem Rep of Congo,3
Aruba,3
Gambia,2
Dominica,2
Gabon,2
Pakistan,2
French Guiana,2
Tibet,2
Togo,2
Grenada,2
Palau,2
Cape Verde Islands,2
Central African Republic,2
Guinea-Bissau,2
Turks and Caicos Islands,2
"Canada, New Brunswick",2
"United Kingdom, Wales",2
Bangladesh,2
Virgin Islands (British),2
Antigua & Barbuda,2
South Sudan,2
Swaziland,2
Zimbabwe,2
Senegal,2
Monaco,2
Martinique,2
Solomon Islands,2
Morocco,2
Malawi,2
Macau,2
Libya,2
Mozambique,2
Micronesia,2
Lesotho,2
Seychelles,2
Iraq,2
Niger,2
Papua New Guinea,2
Haiti,2
Bonaire,1
"Canada, Newfoundland and Labrador",1
"Utah</a><br><a href=""http://utahbeers.com"" target=""_blank"">utahbeers.com",1
Burundi,1
"New York</a>, 13057, <a href=""/place/directory/9/US/"">United States",1
Norfolk Island,1
"United Kingdom, Scotland",1
"Canada, Manitoba",1
Northern Marianas,1
Nagorno-Karabakh,1
Guyana,1
"Canada, Saskatchewan",1
Mayotte,1
Turkish Republic of Cyprus,1
Chad,1
Sao Tome and Principe,1
Liberia,1
East Timor,1
Equatorial Guinea,1
Falkland Islands,1
Sierra Leone,1
Gibraltar,1
"Illinois</a>, 60614-4939, <a href=""/place/directory/9/US/"">United States",1
Guinea,1
South Ossetia,1
Mali,1
